time,UU [m s-1],VV [m s-1],GL [W m-2],lat,lon
2025-10-01T00:00+00:00,-0.04,-0.24,0.0,46.96599,10.742837
2025-10-01T01:00+00:00,-0.05,-0.2,0.0,46.96599,10.742837
2025-10-01T02:00+00:00,-0.1,-0.62,0.0,46.96599,10.742837
2025-10-01T03:00+00:00,-0.06,0.01,0.0,46.96599,10.742837
2025-10-01T04:00+00:00,-0.05,-0.06,0.0,46.96599,10.742837
2025-10-01T05:00+00:00,-0.06,-0.06,0.0,46.96599,10.742837
2025-10-01T06:00+00:00,-0.11,-1.06,8.32,46.96599,10.742837
2025-10-01T07:00+00:00,-0.11,-1.16,36.38,46.96599,10.742837
2025-10-01T08:00+00:00,-0.1,-1.01,219.25,46.96599,10.742837
2025-10-01T09:00+00:00,-0.1,-0.92,334.69,46.96599,10.742837
2025-10-01T10:00+00:00,-0.11,-1.81,288.05,46.96599,10.742837
2025-10-01T11:00+00:00,-0.14,-1.82,274.02,46.96599,10.742837
2025-10-01T12:00+00:00,-0.11,-1.28,456.34,46.96599,10.742837
2025-10-01T13:00+00:00,-0.09,-1.31,436.36,46.96599,10.742837
2025-10-01T14:00+00:00,-0.05,-0.83,480.31,46.96599,10.742837
2025-10-01T15:00+00:00,-0.09,-1.11,102.61,46.96599,10.742837
2025-10-01T16:00+00:00,-0.03,-0.61,46.15,46.96599,10.742837
2025-10-01T17:00+00:00,-0.01,0.21,0.0,46.96599,10.742837
2025-10-01T18:00+00:00,0.01,0.74,0.0,46.96599,10.742837
2025-10-01T19:00+00:00,0.0,0.54,0.0,46.96599,10.742837
2025-10-01T20:00+00:00,0.01,0.45,0.0,46.96599,10.742837
2025-10-01T21:00+00:00,-0.01,0.34,0.0,46.96599,10.742837
2025-10-01T22:00+00:00,0.01,0.3,0.0,46.96599,10.742837
2025-10-01T23:00+00:00,0.01,0.4,0.0,46.96599,10.742837
2025-10-02T00:00+00:00,0.03,0.29,0.0,46.96599,10.742837
2025-10-02T01:00+00:00,0.06,0.1,0.0,46.96599,10.742837
2025-10-02T02:00+00:00,0.03,0.2,0.0,46.96599,10.742837
2025-10-02T03:00+00:00,0.03,0.64,0.0,46.96599,10.742837
2025-10-02T04:00+00:00,0.03,0.6,0.0,46.96599,10.742837
2025-10-02T05:00+00:00,0.02,0.38,0.0,46.96599,10.742837
2025-10-02T06:00+00:00,0.03,0.48,33.88,46.96599,10.742837
2025-10-02T07:00+00:00,0.01,0.44,50.41,46.96599,10.742837
2025-10-02T08:00+00:00,-0.02,0.29,421.18,46.96599,10.742837
2025-10-02T09:00+00:00,-0.08,0.11,557.83,46.96599,10.742837
2025-10-02T10:00+00:00,-0.05,-0.38,661.73,46.96599,10.742837
2025-10-02T11:00+00:00,-0.03,-1.64,694.26,46.96599,10.742837
2025-10-02T12:00+00:00,-0.04,-1.55,671.3,46.96599,10.742837
2025-10-02T13:00+00:00,-0.05,-1.46,593.71,46.96599,10.742837
2025-10-02T14:00+00:00,0.04,-1.07,464.52,46.96599,10.742837
2025-10-02T15:00+00:00,0.0,-1.32,48.86,46.96599,10.742837
2025-10-02T16:00+00:00,0.0,-1.02,27.38,46.96599,10.742837
2025-10-02T17:00+00:00,-0.01,-0.49,0.0,46.96599,10.742837
2025-10-02T18:00+00:00,0.0,0.35,0.0,46.96599,10.742837
2025-10-02T19:00+00:00,-0.02,0.43,0.0,46.96599,10.742837
2025-10-02T20:00+00:00,0.0,0.15,0.0,46.96599,10.742837
2025-10-02T21:00+00:00,0.01,0.22,0.0,46.96599,10.742837
2025-10-02T22:00+00:00,0.02,0.09,0.0,46.96599,10.742837
2025-10-02T23:00+00:00,0.04,0.42,0.0,46.96599,10.742837
2025-10-03T00:00+00:00,0.01,0.38,0.0,46.96599,10.742837
2025-10-03T01:00+00:00,0.01,0.56,0.0,46.96599,10.742837
2025-10-03T02:00+00:00,0.02,0.63,0.0,46.96599,10.742837
2025-10-03T03:00+00:00,0.04,0.37,0.0,46.96599,10.742837
2025-10-03T04:00+00:00,0.04,0.45,0.0,46.96599,10.742837
2025-10-03T05:00+00:00,0.04,0.56,0.0,46.96599,10.742837
2025-10-03T06:00+00:00,0.07,0.24,32.61,46.96599,10.742837
2025-10-03T07:00+00:00,0.03,0.46,42.53,46.96599,10.742837
2025-10-03T08:00+00:00,-0.02,0.86,419.94,46.96599,10.742837
2025-10-03T09:00+00:00,-0.11,0.52,554.99,46.96599,10.742837
2025-10-03T10:00+00:00,-0.15,-0.61,656.39,46.96599,10.742837
2025-10-03T11:00+00:00,-0.11,-1.55,629.93,46.96599,10.742837
2025-10-03T12:00+00:00,-0.1,-1.61,657.16,46.96599,10.742837
2025-10-03T13:00+00:00,-0.11,-1.37,580.88,46.96599,10.742837
2025-10-03T14:00+00:00,-0.08,-1.17,452.42,46.96599,10.742837
2025-10-03T15:00+00:00,-0.07,-0.99,48.26,46.96599,10.742837
2025-10-03T16:00+00:00,-0.03,0.07,39.02,46.96599,10.742837
2025-10-03T17:00+00:00,-0.01,0.04,0.0,46.96599,10.742837
2025-10-03T18:00+00:00,0.03,0.17,0.0,46.96599,10.742837
2025-10-03T19:00+00:00,0.02,0.11,0.0,46.96599,10.742837
2025-10-03T20:00+00:00,0.02,0.38,0.0,46.96599,10.742837
2025-10-03T21:00+00:00,0.03,0.44,0.0,46.96599,10.742837
2025-10-03T22:00+00:00,0.0,0.64,0.0,46.96599,10.742837
2025-10-03T23:00+00:00,0.01,1.18,0.0,46.96599,10.742837
2025-10-04T00:00+00:00,0.03,1.45,0.0,46.96599,10.742837
2025-10-04T01:00+00:00,0.06,1.34,0.0,46.96599,10.742837
2025-10-04T02:00+00:00,0.04,1.05,0.0,46.96599,10.742837
2025-10-04T03:00+00:00,0.05,0.91,0.0,46.96599,10.742837
